,Anbieter,Aufgaben,Bewerbungsdetail,Email,Frist,Kontakter,Profil vom Anbieter,Profil vom Bewerber,Tele,URL,id,stelle_name,stelle_type
57,Institut für Informationsmanagement im Maschinenbau,"Ihre Aufgaben befinden sich vor allem im Bereich der Automatisierungstechnik. Der Fokus liegt hierbei auf der Integration und Inbetriebnahme von robotischen Systemen und in der ganzheitlichen Simulation von Produktionsstätten. Ihre Aufgaben im Rahmen dieser Beschäftigung lauten daher wie folgt:
- Unterstützung bei der Entwicklung von automatisierungsszenarien in aktuellen Forschungsvorhaben
- Mitarbeit beim Aufbau eines wissenschaftlichen Demonstrators zum Thema Industrie 4.0
- Mitarbeit bei der Entwicklung moderner industrieller Kommunikationsnetzwerke
- Simulation von Steuerungsabläufen innerhalb eines virtuellen Produktionsprozesses","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine längerfristige Zusammenarbeit wird angestrebt.Die regelmäßige Wochenarbeitszeit beträgt 12 Stunden. Die Eingruppierung richtet sich nach dem TV-L.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Daniel.Luetticke@ima-zlw-ifu.rwth-aachen.de,31.03.2017,Daniel Lütticke,"Der Lehrstuhl für Informationsmanagement im Maschinenbau (IMA) gehört der Fakultät für Maschinenwesen der RWTH Aachen University an. Forschungsschwerpunkte sind der Einsatz von Methoden der Informatik in allen Anwendungsbereichen des Maschinenbaus, insbesondere in den Feldern Produktionstechnik, Mobilität und Logistik sowie Cognitive Computing und eHealth. 
Im Anwendungsgebiet der ""Virtuellen Lernwelten"" werden Methoden zur realitätsnahen Simulation von Anwendungen der Industrie 4.0 erforscht, um eine Einbindung in die Lehre von Ingenieursstudierenden zu ermöglichen.
Wir suchen daher zum nächstmöglichen Zeitpunkt eine studentische Hilfskraft (w/m), die uns innerhalb unserer Forschungsgebiete ""Virtuelle Lernwelten"" und ""Industrie 4.0"" im Rahmen der Projekte ""ELLI - Exzellentes Lehren und Lernen in den Ingenieurwissenschaften"" und ""ARIZ - Arbeit in der Industrie der Zukunft"" unterstützt.","- Kenntnisse in der Programmierung industrieller Steuerungssysteme nach IEC61131 (z.B. Beckhoff, Siemens, Codesys)
- Programmierkenntnisse in Java oder einer anderen Hochsprache
- Interesse für ingenieurwissenschaftliche Anwendungen, z. B. im Rahmen der Robotik oder komplexer Fertigungstechnologien in der Industrie 4.0
- sehr gute Deutsch- und Englisch-Kenntnisse in Wort und Schrift
- engagierte, teamorientierte, selbständige und leistungsorientierte Arbeitsweise
- Grundkenntnisse im Bereich OPC UA wünschenswert",+49 241 80-91152,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19386/,19386,Vernetzung und Simulation im Industrie 4.0 Kontext,Studentische Hilfskraft
58,Institut für Informationsmanagement im Maschinenbau,"Ihre Aufgaben befinden sich vor allem im Bereich der Backend- und Frontendentwicklung sowie der Umsetzung virtueller Lernszenarien im ingenieurwissenschaftlichen Kontext. Im Rahmen dieser Beschäftigung lauten Ihre Aufgaben daher wie folgt:
- Umsetzung von Plattformen auf Basis moderner Technologien, wie Spring und Angular
- Entwicklung von Visual Analytics Lösungen für die Visualisierung von Informationen in modernen Industrie Szenarien
- Modellierung und Aufbereitung von Informationsflüssen mit Hilfe von geeigneten Protokollen","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine längerfristige Zusammenarbeit wird angestrebt.Die regelmäßige Wochenarbeitszeit beträgt 12 Stunden. Die Eingruppierung richtet sich nach dem TV-L.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Daniel.Luetticke@ima-zlw-ifu.rwth-aachen.de,31.03.2017,Daniel Lütticke,"Der Lehrstuhl für Informationsmanagement im Maschinenbau (IMA) gehört der Fakultät für Maschinenwesen der RWTH Aachen University an. Forschungsschwerpunkte sind der Einsatz von Methoden der Informatik in allen Anwendungsbereichen des Maschinenbaus, insbesondere in den Feldern Produktionstechnik, Mobilität und Logistik sowie Cognitive Computing und eHealth. 
Im Anwendungsgebiet der ""Virtuellen Lernwelten"" werden Methoden zur realitätsnahen Simulation von Anwendungen der Industrie 4.0 erforscht, um eine Einbindung in die Lehre von Ingenieursstudenten zu ermöglichen.
Wir suchen daher zum nächstmöglichen Zeitpunkt eine studentische Hilfskraft (w/m), die uns innerhalb unserer Forschungsgebiete ""Virtuelle Lernwelten"" und ""Industrie 4.0"" im Rahmen der Projekte ""ELLI - Exzellentes Lehren und Lernen in den Ingenieurwissenschaften"" und ""ARIZ - Arbeit in der Industrie der Zukunft"" unterstützt.","- sehr gute Kenntnisse in der Programmierung von Java und JavaScript bzw. TypeScript
- Interesse für ingenieurwissenschaftliche Anwendungen, z. B. im Rahmen der Robotik oder komplexer Fertigungstechnologien in der Industrie 4.0
- sehr gute Deutsch- und Englisch-Kenntnisse in Wort und Schrift
- engagierte, teamorientierte, selbständige und leistungsorientierte Arbeitsweise
- wünschenswert sind Kenntnisse in Spring und Angular",+49 241 80-91152,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19385/,19385,Full Stack Developer im Industrie 4.0 Kontext,Studentische Hilfskraft
59,Institut für Strukturmechanik und Leichtbau,"Weiterentwicklung der auf jME3 basierten Simulationsplattform dysLab für Studierende im Rahmen der Veranstaltung Mechanik III (Dynamik) durch:
- Implementierung der Berechnung/Darstellung komplexer kinematischer und kinetischer Zusammenhänge in einer dreidimensionalen Umgebung
- Erstellung von Animationen/Beispielen für Vorlesungen und Übungen
- Verbesserung der graphischen Oberfläche und Erweiterung von Funktionen
- Entwicklung einer Plattformvariante für mobile Geräte
- Erstellung der erforderlichen Dokumentation",,mailto:mauricio.chaves@sla.rwth-aachen.de,31.03.2017,Mauricio Chaves-Vargas,"Das Institut für Strukturmechanik und Leichtbau (SLA) der RWTH Aachen forscht und lehrt seit mehr als sechzig Jahren im Feld des Leichtbaus. Die Vermittlung der Kenntnisse der Technischen Mechanik ist Aufgabe des dem Institut angegliederten Lehrstuhls. Hierzu gehört die Veranstaltung Mechanik III (Dynamik) für Wirtschaftsingenieure mit FR Maschinenbau, die im 3. Semester angeboten wird. Ziel des SLA ist es, für die Mechanik-III-Vorlesungen und -Übungen eine intuitiv, einfach zu bedienende, benutzerfreundliche und auf Lehrzwecke zugeschnittene Simulationsplattform im Baukastenformat zu schaffen. Diese wird das Erlernen der Dynamik durch das Erstellen und Simulieren mechanischer Systeme deutlich erleichtern. Die Plattform wird auf PC's sowie auf Mobilgeräten wie Smartphones oder Tablets lauffähig sein.","- Sie sind verantwortungsbewusst, selbstständig, zuverlässig und teamfähig
- Sie haben gute mathematische und mechanische Kenntnisse
- Sie haben gute bis sehr gute Programmierkenntnisse, insbesondere in Bezug auf Spielengines und/oder Apps für mobile Geräte
- Sie haben gute Deutschkenntnisse",+49 241 80-96838,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19376/,19376,,Studentische Hilfskraft
60,AVT.Systemverfahrenstechnik,"Am Lehrstuhl für Systemverfahrenstechnik (AVT.SVT) an der RWTH Aachen haben wir ein Tool zur Datenregression entwickelt, welches der chemischen Industrie zugänglich gemacht werden soll. Hierfür besteht bereits eine Schnittstelle zum kommerziell verbreiteten Regressionstool der DECHEMA DPP. Für die Wartung und Weiterentwicklung unseres Tools und der Schnittstelle suchen wir, wenn möglich, ab Anfang April 2017 oder früher, einen HiWi oder Werkstudenten mit. ","Die Stelle ist zum 01.04.2017 zu besetzen und befristet auf zunächst 3 Monate.  Eine Verlängerung ist erwünscht.Die regelmäßige Wochenarbeitszeit beträgt 5-10 Stunden. Die Wochenarbeitszeit erfolgt nach Absprache.Die Eingruppierung richtet sich nach dem TV-L.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:moll.glass@avt.rwth-aachen.de,31.03.2017,Moll Glass,"Der Lehrstuhl für Systemverfahrenstechnik (AVT.SVT) ist Teil der Aachener Verfahrenstechnik an der RWTH Aachen, wurde im Jahr 2012 gegründet und wird von Prof. Alexander Mitsos, PhD, geleitet.  Unsere Forschung deckt unterschiedlichste Gebiete ab, wobei Methoden der klassischen Ingenieurwissenschaften, der Informatik und der Mathematik verbunden werden. Die methodisch orientierten Arbeiten konzentrieren sich auf die Erstellung von Methoden zur mathematischen Modellierung sowie zur Verfahrensentwicklung und -regelung und auf die Zusammenführung von Experiment und Modell. 
Dabei wird die Entwicklung von numerischen Algorithmen und Software-Werkzeugen eingeschlossen. Ergänzt wird der methodische Schwerpunkt durch industrielle Anwendungen","Gute oder sehr gute Kenntnisse in:
- C++-Kenntnissen (objektorientierte Programmierung, DLLs
Idealerweise Erfahrung in:
- Programmierung von Schnittstellen 
- im Umgang mit CMake 
- Bewerbungen bitte elektronisch.",+49 241 80-97006,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19378/,19378,HiWi/Werkstudent für Programmierung in C++ gesucht,Studentische Hilfskraft
61,Institut für Maschinenelemente und Maschinengestaltung,"- Technische Unterstützung bei der Entwicklung von standardisierten Prüfprozeduren
- Unterstützung bei der Konstruktion einer Prüfvorrichtung zur Lastaufprägung
- Administrative Unterstützung beim Projektablauf
- Unterstützung bei Feldmessungen","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf zunächst 6 Monate. Eine langfristige Beschäftigung ist erwünscht und wird auch angestrebt.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:pelger@ime.rwth-aachen.de,17.04.2017,Christian Pelger,"Der Forschungsbereich ""Off-Highway-Antriebstechnik"" des Instituts für Maschinenelemente und Maschinengestaltung beschäftigt sich mit der Optimierung der Antriebssysteme von Bau- und Landmaschinen, mit dem Ziel der Effizienzsteigerung und Emissionsminimierung.
Im Rahmen eines öffentlich geförderten Projekts wird eine Prüfmethodik zur Effizienzbestimmung von Radladern entwickelt. Da die Belastung von Radladern im Feld von vielen Einflussfaktoren abhängig und damit schwer reproduzierbar ist, soll die Effizienzbewertung auf dem hauseigenen
Verspannungsprüfstand erfolgen. Zur Projektunterstützung sucht das IME zum nächstmöglichen Zeitpunkt eine studentische Hilfskraft.","- Selbstständige & eigenverantwortliche Arbeitsweise
- Kenntnisse in Matlab/Simulink vorteilhaft
- Sehr gute Deutschkenntnisse
- Interesse an Themen der Antriebstechnik",+49 241 80-90861,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19368/,19368,Effizienzbewertung von Radladern Bereich Off-Highway Antriebstechnik,Studentische Hilfskraft
62,Lehrstuhl für Technologie und Innovationsmanagement TIM,"Unterstützung bei der Durchführung von Lehrveranstaltungen
- Mitarbeit in verschiedenen Forschungsprojekten
- Mitarbeit in verschiedenen Forschungsprojekten bei unseren externen Partnern
- Assistenz bei Forschungs- und Lehrstuhladministration
- Erstellung von Lehrmaterialien / und Designs für die Öffentlichkeitsarbeit",,mailto:Louwen@time.rwth-aachen.de,31.05.2017,Fabian Louwen,"Der Lehrstuhl für Technologie- und Innovationsmanagement (TIM) ist seit seiner Gründung im Jahr 1990 eine führende europäische Institution in den Forschungsfeldern Innovations- und Technologiemanagement, Geschäftsmodellentwicklung und kundenzentrierter Wertschöpfung. Derzeit lehrt und forscht am TIM-Lehrstuhl ein interdisziplinäres Team von rund 20 Mitarbeitern unter der Leitung von Prof. Dr. Frank Piller in enger Kooperation mit den ingenieurswissenschaftlichen Instituten der RWTH Aachen. Ein Schwerpunkt der aktuellen Forschung liegt auf dem Management disruptiver Innovation, der Technologieakzeptanz und -adaption, der situativen Gestaltung von Innovationsprozessen und insbesondere auch der Integration externer Akteure in interne Innovationsvorhaben.","- Sie studieren an einer der Aachener Hochschulen
- Sie sind an einer längerfristigen Anstellung interessiert
- Sie sind flexibel und können eigenständig arbeiten
- Sie arbeiten gerne im Team
- Sie haben sehr gute Deutsch- UND Englischkenntnisse
- Sie besitzen sehr gute Microsoft Office-Kenntnisse
- Sie besitzen gute IT-Kenntnisse
Wünschenswert sind weiterhin Kenntnisse im Bereich Webdesign (HTML, CSS, JS) und Design (Photoshop, InDesign, ?)",+49 241 80-93501,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19364/,19364,,Studentische Hilfskraft
63,Institut für Kommunikationssysteme,"Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 2 Monate. Die regelmäßige Wochenarbeitszeit beträgt 5 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",,mailto:schrammen@iks.rwth-aachen.de,30.04.2017,Matthias Schrammen,"Sie studieren Elektrotechnik, technische Informatik oder Informatik und haben bereits Erfahrung im Bereich Video- und Audiobearbeitung oder Medientechnik / Mediengestaltung. Dies beinhaltet den Umgang mit Video- und Audiotechnik und das anschließende Verarbeiten des Materials.","Wir suchen eine studentische Hilfskraft, die uns bei der Durchführung einer Lehrveranstaltung unterstützen kann. Ihre Aufgabe ist es, die Studierenden während ihrer Seminarvorträge zu filmen und das aufgenommene Material am Ende des Seminars zu schneiden und ggf. nachzubearbeiten. Das gesamte Equipment wird von uns zur Verfügung gestellt.",+49 241 80-26962,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19359/,19359,,Studentische Hilfskraft
64,Mechatronische Systeme am Verbrennungsmotor,"Echtzeitsimulation und Optimierungsverfahren im Fahrzeugentwicklungsprozess, auch in Verbindung mit Fahrzeugkalibrierungsprozess werden mit erweiterten HiL-Systemen innovativer Entwicklungsmethode eingesetzt, um die
gegenwärtigen und auch zukünftigen Herausforderungen in der Antriebsstrangentwicklung zu meistern. In dieser Arbeit wird eine neuartige Methode an einer HiL-Kalibrierungsplattform von FEV für ein Diesel-Steuergerät mithilfe von echtzeitfähigen Modellen eines Gesamtfahrzeugs entwickelt.",,mailto:lee_sun@vka.rwth-aachen.de,31.05.2017,M.Sc. Sung-Yong Lee,Der Lehrstuhl für Verbrennungskraftmaschinen (VKA) der RWTH Aachen unter der Leitung von Prof. Dr.-Ing. Stefan Pischinger ist zusammen mit dem Lehrstuhl für Technische Thermodynamik (LTT) als Institut für Thermodynamik innerhalb der Rheinisch-Westfälischen Technischen Hochschule in der Fakultät für Maschinenwesen angesiedelt.,"- Kenntnisse der Funktonen eines Verbrennungsmotors (GVM, VKI/II, SAV)
- Interesse an Simulation, HiL-, Motor-Prüfstand und Prototyp-Fahrzeugmessung
- Erste Kenntnisse in Matlab/Simulink",+49 5689-4762,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19327/,19327,,Studentische Hilfskraft
65,Denise Boussonville,- Unterstützung der Gleichstellungsbeauftragten der Fakultät 3 in allen administrativen Abläufen.,,mailto:veroy@aices.rwth-aachen.de,24.03.2017,Prof. Karen Veroy-Grepl,Fakultät für Bauingenieurwesen,"Das Studienfach ist nebensächlich - jedoch keine Studierenden der Fakultät 3.
Sehr gute Deutsch- und Englischkenntnisse, sehr gute MS-Office-Kenntnisse (besonders Word, Excel, Power Point), Sorgfalt, Eigeninitiative, Teamfähigkeit sowie eine schnelle Auffassungsgabe.",+49 241 80-99207,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19370/,19370,,Studentische Hilfskraft
66,Zentrale Studienberatung,"-Organisation der Terminvergabe
-Ausschreibung der Studientrainings
-Unterstützung bei der Vor- und Nachbereitung der Studientrainings
-Datenbankpflege
-Auswertung der Jahresstatistik
-Teilnahme an Teamsitzungen und Protokollierung
-Koordinierung studentischer Selbsthilfegruppen (ggfs. Arbeitszeiten am Abend)",,mailto:mandana.biegi@zhv.rwth-aachen.de,19.05.2017,Dr. Mandana Biegi,"Innerhalb des Dezernats 1.0, akademische und studentische Angelegenheiten, ist in der Zentralen Studienberatung (Abt. 1.4)  die Stelle einer Studentischen Hilfskraft zur Unterstützung der Psychologischen Beratung zu besetzen. 
Die Zentrale Studienberatung ist schwerpunktmäßig in der Beratung von Studieninteressierten bei  der Studienwahl und von Studierenden bei Problemen im Studium tätig. ","-Als Studentin/Student an der RWTH Aachen eingeschrieben
-Interesse an der Arbeit der Zentralen Studienberatung, insbesondere der Psychologischen Beratung
-Sicherer Umgang mit allen Office-Produkten
-Zuverlässigkeit, Verbindlichkeit, Belastbarkeit
-Freundliches und selbstsicheres Auftreten
-Teamfähigkeit
-Kontaktfähigkeit und hohe kommunikative Kompetenz
-Bereitschaft zu langfristiger Tätigkeit
-Sehr gute Deutsch- und Englischkenntnisse",+49 241 80-99403,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19373/,19373,,Studentische Hilfskraft
67,Fakultät für Maschinenwesen,"- Entwicklung und Gestaltung von Diagrammen, Abbildungen, Prozessbeschreibungen 
- Grafische Aufbereitung von Präsentationen, Berichten, etc.
- Unterstützung im Bereich ""Soziale Medien""","Die Stelle ist zum 01.05.2017 zu besetzen und befristet auf 6 Monate.  Die Option auf eine Verlängerung besteht.Die regelmäßige Wochenarbeitszeit beträgt 8 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:pingen@fb4.rwth-aachen.de,24.03.2017,Jessica Koch,"Wir sind die zentrale Geschäftsführung der Fakultät für Maschinenwesen der RWTH Aachen. Mit einem dynamischen Team unterstützen wir den Dekan bei seinen Leitungs-, Administrations- und Repräsentationsaufgaben sowie der zukunftsorientierten Gestaltung von Studien- und Fakultätsorganisation. Wir suchen zum nächstmöglichen Zeitpunkt eine studentische Hilfskraft (8h / Woche).
Wir bieten:
- Gelegenheit, eigenverantwortlich bei flexibler Zeiteinteilung zu arbeiten
- Erfahrungen zu sammeln, die über die direkten Studieninhalte hinausgehen
- Sehr gutes Arbeitsklima in einem dynamischen Team","- Praktische Erfahrungen im Bereich Grafikdesign, insb. in der grafischen Darstellung abstrakter Inhalte
- Systematische und genaue Arbeitsweise
- Bereitschaft zur Einarbeitung in fremde Sachverhalte
- Sehr gute Deutschkenntnisse in Wort und Schrift
- Fähigkeit zu selbständigem Arbeiten, Teamfähigkeit, Kreativität
- Das Einbringen eigener Ideen wird erwartet",+49 241 80-98069,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19342/,19342,Grafikdesign,Studentische Hilfskraft
68,Musa Akdere,"-Aufbau von Simulationsmodellen von Prozessen der Textiltechnik und Analyse der Ergebnisse (CFX, Fluent, COMSOL)
-Weiterentwicklung bestehender Simulationsmodelle 
-Analyse und Zusammenfassung der Ergebnisse in Kurzberichten","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet zunächst auf ein halbes Jahr. Die regelmäßige Wochenarbeitszeit beträgt 16 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Jonas.Hunkemoeller@ita.rwth-aachen.de,01.05.2017,Jonas Hunkemöller,Institut für Textiltechnik der RWTH Aachen,"-mindestens 3 Semester im Studium  (Maschinenbau, CES, o.Ä.) 
-Kenntnisse der Strömungsmechanik und Interesse an thermischen und fluiddynamischen Prozessen
-Kenntnisse von Simulationssoftware von Vorteil
-Selbstständige und  zuverlässige Arbeitsweise
-Gute Deutschkenntnisse in Wort und Schrift ",+49 241 80-24723,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19341/,19341,Strömungssimulation textiler Prozesse,Studentische Hilfskraft
69,Zahnärztliche Werkstoffkunde und Biomaterialforschung (ZWBF),"-Synthese von Kalzium-Phosphat-Partiken (div. Methoden)
-Charakterisierung der hergestellten Partikel in Hinblick auf Größe, Reinheit, usw. (XRD, SEM, TEM, etc.)
-Entwicklung von hydrogelbasierten Kompositmaterialien für medizinische Anwendungen
-Charakterisierung der Hydrogel-Kalzium-Phosphat-Materialien in Hinblick auf mechanische und rheologische Eigenschaften sowie 3D-Druckbarkeit
-Zytokompatibilitätstests (live-dead, Immunfluoreszenz, Mikroskopie)
-qPCR mit RNA- und cDNA-Extraktion
-Statistische Auswertung der generierten Daten",,mailto:ksen@ukaachen.de,31.03.2017,Kshama Shree Sen,"Das Team im Lehr- und Forschungsgebiet Zahnärztliche Werkstoffkunde und Biomaterialforschung entwickelt maßgeschneiderte Biowerkstoffe für intelligente Prothesen und Implantate. Einsatzgebiete für die neuentwickelten Materialien finden sich in der Dentalprothetik und der Kieferchirurgie, der Orthopädie und Unfallchirurgie und in der Gefäß- und Transplantationschirurgie. Aufgrund der fachübergreifenden Thematik arbeiten in unserem Team Werkstoffingenieure, Biomedical Engineers, Biologen, Maschinenbauingenieure, und Dentaltechnologen interdisziplinär zusammen. Ein Schwerpunkt des Forscherteams ist die Thematik der Knochenersatzwerkstoffe, sh. www.biomaterialforschung.de.","-Bachelor-Abschluss in Biomedical Engineering, Materialwissenschaften, Biologie, Biotechnologie o.ä.
-Sichere Englischkenntnisse in Wort und Schrift sind Voraussetzung (Bewerbung in Englisch)
-Grundlegende Kenntnisse der Laborarbeit/Zellkultur
-Kenntnis von Biomaterialien und Synthesetechniken
-Erfahrung mit der Planung von Experimenten, statistischen Auswertung von Daten
-Routinierter Umgang mit Microsoft Office, ImageJ,...
-Fähigkeit, unabhängig zu arbeiten und eigene Ideen einzubringen
-Erfahrung in qPCR-Techniken und grundlegende Programmierkenntnisse gerne gesehen",+49 241 80-89909,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19338/,19338,,Studentische Hilfskraft
70,Fraunhofer-Institut für Produktionstechnologie IPT,"- Erstellung von Informations- und Marketingmaterialien (z.B. Broschüren, Plakate, Flyer, Präsentationen) 
- Pflege des Internetauftritts sowie unseres Partner-Portals
- Mitarbeit bei der Vorbereitung und Durchführung von Veranstaltungen und Projekttreffen
- Unterstützung beim Kunden- und Kontaktmanagement (z.B. Mailings, Newsletter)","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine längerfristige Zusammenarbeit ist gewünscht.Die regelmäßige Wochenarbeitszeit beträgt 17 Stunden. Die Arbeitszeit kann flexibel eingeteilt werden.Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:tmnachwuchs@ipt.fraunhofer.de,31.03.2017,Christina König,"Das Fraunhofer IPT erarbeitet Systemlösungen für die vernetzte, adaptive Produktion. Unsere Auftraggeber und Kooperationspartner kommen aus der gesamten produzierenden Industrie - aus der Luft- und Raumfahrttechnik, dem Automobilbau und seinen Zulieferern, dabei vor allem aus dem Werkzeug- und Formenbau, der feinmechanischen und optischen Industrie, aber auch aus den Life Sciences und vielen anderen Branchen.
Für den Bereich Technologiemanagement suchen wir eine engagierte studentische Hilfskraft (m/w), die unser Team bei verschiedenen Marketingtätigkeiten sowie im Bereich Kommunikation unterstützt.
Was wir bieten
- Abwechslungsreiche Tätigkeit, bei der deine Ideen gefragt sind
- Ideale Rahmenbedingungen für Praxiserfahrungen neben dem Studium
- Flexible Arbeitszeiten und selbstständiges Arbeiten
- Mitarbeit in einem engagierten Team","- Du studierst Technikkommunikation, Betriebswirtschaftslehre, Kommunikations-/ Medienwissenschaft oder vergleichbar
- Du hast Spaß am selbstständigen Arbeiten, Teamgeist und Kommunikationsstärke
- Sichere Kenntnisse der deutschen und englischen Sprache in Wort und Schrift
- Gute MS-Office-Kenntnisse",+49 241 8904-100,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19336/,19336,Marketing und Kommunikation im Bereich Technologiemanagement,Studentische Hilfskraft
